sessionId,SubscriberMinutes,CreatedAt
1_MX40NTkyNzA2Mn5-MTU4NjIxODY4OTQ4NH5vUUxGTlN2dW5xR1hweVNTbndrVXFtcDN-fg,19766.548433333333,2020-04-12T00:00:17.065Z
2_MX40NTkyNzA2Mn5-MTU4NjE2Nzc1MzM1OX5zUkx0dFdCQll4Q053WHJ3V0tURnNGY1Z-fg,129032.99366666666,2020-04-12T01:59:56.937Z
2_MX40NTkyNzA2Mn5-MTU4NjQ2NzkwODc3MH5nL0sya2xHRUNndUdZYUYydHlTQThLQjV-fg,3321.99515,2020-04-12T06:53:17.850Z
2_MX40NTkyNzA2Mn5-MTU4NjYzNDcwMTA0OH5qQ0FqQnV5UkJtajYxQnkzbWllcXpLZEZ-fg,58878.4544,2020-04-12T07:45:14.764Z
2_MX40NTkyNzA2Mn5-MTU4NjYyMjA0Nzg4N35SY1E1Q1RaTHhOSnpEYTlKYkd6NitmZyt-fg,35768.267133333335,2020-04-12T09:04:55.819Z
1_MX40NTkyNzA2Mn5-MTU4NjAyODg3ODExOX5mTTRNcHNLVWlQSEhuNWs0dWRERnA5c0l-fg,27744.73285,2020-04-12T09:06:41.858Z
2_MX40NTkyNzA2Mn5-MTU4NjI0Mjk5NDgwNH5WSnZPZm5hRVFUZ1lGMFpjSXlDRHFEWGR-fg,2917.9487166666668,2020-04-12T09:24:08.700Z
2_MX40NTkyNzA2Mn5-MTU4NjU0MzkxOTE1MH5SZURNMTZGaWYvaUtvMVpGSHpTUXVjSTV-fg,2265.340366666667,2020-04-12T09:31:37.980Z
1_MX40NTkyNzA2Mn5-MTU4NjI4NTM1NjE3M35iWkdDbzNKNDdrT0JBN1pDemphdXdRcE1-fg,2410.5196666666666,2020-04-12T09:33:40.341Z
1_MX40NTkyNzA2Mn5-MTU4NjA3NzIxODMzMH4vQ2VyeTg2WmNKT1MvN2hXbE9TMmNyYld-fg,7719.872466666667,2020-04-12T09:48:27.798Z
2_MX40NTkyNzA2Mn5-MTU4NjYyNTczMTcxNH4wY3pwdnFEbnV1Sk1UdUliSGx0bnNZK3B-fg,7005.3272,2020-04-12T10:01:57.251Z
1_MX40NTkyNzA2Mn5-MTU4NTkzOTQ1ODc1Nn5YNWJZQ0Fwend4dFFFS0ovbmpFYWZsb2d-fg,12517.70205,2020-04-12T10:48:25.744Z
2_MX40NTkyNzA2Mn5-MTU4NTY1MDIwNzAxNX5tempCSGFIK3graUVKY3pmREtyQWh1WGF-fg,3703.4887166666667,2020-04-12T10:53:37.679Z
1_MX40NTkyNzA2Mn5-MTU4NjAyNTE0NDE3N35FWG9wUVNTeFZ2bUxVTmZacW9OOXlDZFB-fg,28316.651533333334,2020-04-12T10:57:43.363Z
2_MX40NTkyNzA2Mn5-MTU4NjE5NTk2MTQzMn5ibkpVcG5jbEhIUXJzNllNaEFXa0NIWHp-fg,36.666716666666666,2020-04-12T11:05:52.875Z
1_MX40NTkyNzA2Mn5-MTU4NDk5NTU0NjY1OX4wbXJiNEo3MWZrQW9yWHpqT0djNFFFSkV-fg,10850.521166666667,2020-04-12T11:14:28.888Z
2_MX40NTkyNzA2Mn5-MTU4NjYxNzk5MzY0NX5jSC8rV1lSeVNQNzEvNTE2SnpLTHZ4Zm9-fg,46033.808516666664,2020-04-12T11:19:48.912Z
1_MX40NTkyNzA2Mn5-MTU4NTUwOTU3Nzc1OH5tQ3BVS0hlUG9CZFlGc3BILzRvMHJHelJ-fg,5226.463766666667,2020-04-12T11:27:54.649Z
1_MX40NTkyNzA2Mn5-MTU4NjAyNzE2NTc1OX5Cb2hkdGJlVGkyS1JEc0Z3U0tCYUdweUl-fg,3876.580016666667,2020-04-12T11:35:45.634Z
2_MX40NTkyNzA2Mn5-MTU4NjYxMDA5NTUwM35vVmpUNERoRkpFV1dYeEVMS2VWM0pLOGZ-fg,18530.04005,2020-04-12T11:56:55.656Z
2_MX40NTkyNzA2Mn5-MTU4NTQyMzA2MTU0OH45eUxuSDRIM3liWjAyOEE5eUdPSWlpZFV-fg,1821.9453833333334,2020-04-12T12:10:53.439Z
2_MX40NTkyNzA2Mn5-MTU4NjUxNDM5MTA0OX5jWHhYaVZ2VzBFU2FQY1JlTEFkUHFHK2t-fg,34544.58035,2020-04-12T12:17:08.455Z
1_MX40NTkyNzA2Mn5-MTU4NTc2NDE3NTEyMH5RSDFMWGJieU9BT0EyVzd2SUVMS0JKSWx-fg,2380.15715,2020-04-12T12:24:23.625Z
1_MX40NTkyNzA2Mn5-MTU4NjM1MDQ5NjMxMH5neUR0Qy9rcE1rR1ptTW5KSWVQMXozbE9-fg,92.7789,2020-04-12T12:41:53.587Z
2_MX40NTkyNzA2Mn5-MTU4NTUwNzUyMTk5MX55bTdEYmhwWm1nYmtVc0FNZ3RMZHpUbmZ-fg,1525.52425,2020-04-12T13:04:02.758Z
2_MX40NTkyNzA2Mn5-MTU4NjY5Njk5MTQwOX40R0VyU21jc0lWUXo1MnZIOG5QZm1Wdit-fg,11780.682766666667,2020-04-12T13:09:53.138Z
1_MX40NTkyNzA2Mn5-MTU4NTkxNTE3OTI3Nn5mclJFMW44dWRHQW9Vc3N4ZEdWeDlZaTh-fg,3358.579,2020-04-12T13:26:08.175Z
2_MX40NTkyNzA2Mn5-MTU4NTQyOTQxMjY5Mn4ySENENmN6ckV4NnFaRWJjdEdvb214RGN-fg,1029.6426333333334,2020-04-12T13:33:29.610Z
2_MX40NTkyNzA2Mn5-MTU4NDk4NjE0NTA3OH5VU2h3OGM2Q0lUUXpkK0I5Uno0TFRaNlB-fg,9128.632183333333,2020-04-12T13:43:04.414Z
2_MX40NTkyNzA2Mn5-MTU4NjM2NjI0NjM5MH5VZWxIeis2TEV5Z0JpMU0raFRnUk5DQ1Z-fg,17458.414716666666,2020-04-12T13:54:49.438Z
1_MX40NTkyNzA2Mn5-MTU4NTc2NzU0ODUxOX5neHlMTDVpZ0g2OGJrd2xVcStXSzNkbTR-fg,7658.31245,2020-04-12T14:12:32.566Z
1_MX40NTkyNzA2Mn5-MTU4NjU5OTM2NTgxNX5JaFRweEZIWnlodkVFUWpUUXN3Y2hkMWZ-fg,1578.34295,2020-04-12T14:37:48.567Z
2_MX40NTkyNzA2Mn5-MTU4NjAwNDI0ODYzM35GL250OTNjUk1meC81ekswOTE2VHBjbFF-fg,5547.77495,2020-04-12T14:40:45.475Z
2_MX40NTkyNzA2Mn5-MTU4NjcwNDU0MzI4MX44dkZpTkNzdW45R3JiRHFGd2N3MUdkR3R-fg,308.7044,2020-04-12T15:15:45.014Z
2_MX40NTkyNzA2Mn5-MTU4MzY1NjcyMDU2OX40NXNTZGRFSGx1WUxUbFp3MFRkaWZQUGt-fg,63.06288333333333,2020-04-12T15:16:10.276Z
1_MX40NTkyNzA2Mn5-MTU4NjIwMTYwMjAzM352Q2ZGWDdjM3BpVWhnS0RCUENia210Y0l-fg,3163.59915,2020-04-12T15:18:28.588Z
1_MX40NTkyNzA2Mn5-MTU4NjUyMzYxNDQyMX5vTEFmTEtpd2drSitkRkRSRXJrNXkzTUx-fg,16633.997766666667,2020-04-12T15:23:29.245Z
2_MX40NTkyNzA2Mn5-MTU4NjU1MzQ0ODM1NH43bkVRWmtCM015R2lPa0FJaXBqU3dxS2h-fg,7272.031566666667,2020-04-12T15:55:48.129Z
1_MX40NTkyNzA2Mn5-MTU4NjcwODMwOTcxMH5QYWEvclJHK0M3bFN6U1hkaTBGVlFlQk9-fg,13866.247816666666,2020-04-12T16:18:33.337Z
1_MX40NTkyNzA2Mn5-MTU4NjQ1NTI1MTAwOX50eW9ZUTZlcTNJLzdOTGxNWEMzM3hSR25-fg,5866.18045,2020-04-12T16:47:30.181Z
1_MX40NTkyNzA2Mn5-MTU4NjcxMTY5NzU5NH5veTBCdWNTdEcwM1lXMWoreHp1dEEzVFl-fg,11645.3181,2020-04-12T17:14:59.177Z
2_MX40NTkyNzA2Mn5-MTU4NTY4OTY0NDk2Mn5WY2VJaUUxeTRiejRyQjJIM3czeUM4bER-fg,60798.97233333333,2020-04-12T17:44:09.530Z
2_MX40NTkyNzA2Mn5-MTU4NjM0MDE3OTcyN35POWF6N0ZYZEpSNnZlM0dKbmtGUXdxUjd-fg,27783.385266666668,2020-04-12T17:50:29.865Z
2_MX40NTkyNzA2Mn5-MTU4NjExNzU2MDQwOX5WSzVFWEIwemFoMDR5UENqaGpXbnlhL2N-fg,182.08363333333332,2020-04-12T17:57:36.323Z
2_MX40NTkyNzA2Mn5-MTU4NjEwMDcxMzkzN35tcGpPU0F0V3gwdHhQaUlsRzVzMDVOMWR-fg,21554.91543333333,2020-04-12T17:59:25.263Z
1_MX40NTkyNzA2Mn5-MTU4NTkzNzYyODY0OH5FVkIrTXhaOURtVnFGdFJvV2JPS1RUbVN-fg,2824.1647666666668,2020-04-12T18:14:34.455Z
2_MX40NTkyNzA2Mn5-MTU4NjAyNzgxMTU5M35ZQWk2UkpvY2d0bHlNbkxCK3lpQWVURXh-fg,16622.494566666668,2020-04-12T18:15:35.896Z
2_MX40NTkyNzA2Mn5-MTU4NDc5OTQ2ODk0N35yc3IySXRYVTBZOXZ0Y0dmMnJ2M1NyY3l-fg,93.43865,2020-04-12T18:19:34.735Z
2_MX40NTkyNzA2Mn5-MTU4NTk0MTEzMzIxM34xc3B1V1FtWkZ5eE5IMlJyNlkzTW1tZjd-fg,7475.186266666667,2020-04-12T18:26:23.687Z
1_MX40NTkyNzA2Mn5-MTU4NjU1OTQ4MzMyM34vV1dLK2FMbWJ4VHFrMnZpVXE0eEhiRWJ-fg,1530.2092833333334,2020-04-12T18:43:49.652Z
